recency_days,frequency,monetary,cart_abandon_rate,churn_probability
328,3,557710000,0,
0,3,524177000,2,
0,0,0,2,
346,1,435000000,5,
0,0,0,1,
0,0,0,5,
0,0,0,2,
340,4,656257000,5,
323,2,556380000,2,
0,0,0,1,
420,1,149640000,3,
365,2,217350000,2,
427,1,83980000,1,
0,0,0,4,
0,0,0,2,
370,1,450330000,1,
345,1,341937000,4,
0,0,0,4,
0,0,0,5,
334,2,441498000,2,
367,2,350128000,2,
382,2,258000000,4,
362,2,297020000,1,
0,0,0,4,
0,0,0,2,
363,1,71070000,1,
331,1,44890000,4,
0,0,0,2,
0,0,0,1,
0,0,0,1,
343,2,408367000,4,
358,1,128970000,4,
376,1,226730000,4,
0,0,0,3,
0,0,0,1,
424,1,268430000,4,
0,0,0,4,
386,2,67379000,3,
375,1,227860000,3,
368,2,411970000,2,
323,3,923530000,3,
329,3,667628000,4,
360,3,281020000,4,
0,0,0,1,
0,0,0,4,
353,1,115470000,3,
0,0,0,4,
0,0,0,4,
323,2,306010000,3,
0,0,0,4,
369,1,199150000,1,
0,0,0,3,
347,2,427888000,1,
374,1,118440000,2,
0,0,0,3,
410,1,360730000,5,
349,1,327710000,1,
0,0,0,3,
335,2,304530000,5,
321,3,726770000,5,
352,3,326300000,2,
387,1,73370000,3,
0,0,0,5,
414,1,200040000,4,
385,1,228958000,4,
0,0,0,4,
404,1,222830000,3,
325,1,247740000,5,
0,0,0,4,
341,2,174720000,4,
0,0,0,3,
393,1,255950000,4,
0,0,0,2,
336,2,311944000,3,
0,0,0,5,
357,2,88560000,1,
0,0,0,5,
396,1,109779000,5,
337,1,200510000,5,
390,1,121760000,2,
349,1,191460000,4,
0,0,0,1,
0,0,0,2,
0,0,0,1,
0,0,0,1,
355,3,401649000,1,
406,1,90988000,2,
332,1,123977000,5,
0,0,0,2,
409,1,122060000,5,
346,3,571159000,5,
389,1,145977000,4,
330,1,102977000,5,
0,0,0,4,
425,1,228450000,1,
359,4,480648000,5,
384,1,68370000,2,
353,2,267350000,2,
377,1,93550000,4,
343,1,89770000,2,
0,0,0,0,
